Movie,Time,Revenue,TicketsSold
American Werewolf in London,17:30,0,0
American Werewolf in London,17:45,0,0
American Werewolf in London,18:00,0,0
American Werewolf in London,18:15,0,0
American Werewolf in London,18:30,0,0
American Werewolf in London,18:45,0,0
American Werewolf in London,19:00,0,0
American Werewolf in London,19:15,0,0
American Werewolf in London,19:30,0,0
American Werewolf in London,19:45,0,0
American Werewolf in London,20:00,0,0
American Werewolf in London,20:15,0,0
American Werewolf in London,20:30,0,0
American Werewolf in London,20:45,0,0
American Werewolf in London,21:00,0,0
American Werewolf in London,21:15,0,0
American Werewolf in London,21:30,0,0
American Werewolf in London,21:45,0,0
American Werewolf in London,22:00,0,0
American Werewolf in London,22:15,0,0
American Werewolf in London,22:30,0,0
American Werewolf in London,22:45,0,0
American Werewolf in London,23:00,0,0
